N_e,N_b,M_e,M_b,K,p,c,t,rf,theta_e,theta_b,precision_e,precision_b,CF_BL,BL
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,100,100,-1.6178755414975032e-18,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,10,100,0.03679172497661727,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,100,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,1000,10,-1.681943730735721e-19,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,100,10,-6.560179583975158e-09,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,1000,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,10,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,10,10,0.22763478141462903,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,1000,100,-4.0466212737504305e-41,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,100,100,-4.995402049446778e-16,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,100,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,10,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,10,100,0.015326504883715715,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,1000,10,-1.1548320037994245e-18,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,10,10,0.2298463909395728,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.05,100,10,-2.9577914977657017e-09,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,1000,100,-0.29409927241594624,-323.00000000022783
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,100,1000,-0.4000000000000066,-323.0000000006532
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,100,100,-0.2984633974496776,-323.00000000011784
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,10,100,-0.12964072386502384,-323.00645340850167
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,1000,1000,-0.3999999999997759,-323.0000000007632
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,1000,10,-1.1084937504114715e-14,-323.5447174305107
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,100,10,-2.9200205084282276e-07,-323.5447174304006
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,100,1000,-0.4000000000000066,-323.0000000002989
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,1000,100,-0.3999999999997759,-323.0000000002326
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,10,10,0.23411009053837548,-323.1944599599728
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,1000,1000,-0.3999999999997759,-323.00000000040893
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,10,1000,-0.1296407238327048,-323.006453408678
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,100,100,-0.4000000000000066,-323.00000000012255
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,100,10,-6.009618057557684e-07,-323.1880065515937
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.75,1000,10,-6.302051107614194e-14,-323.18800655170367
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,10,1000,-0.1296407238316593,-323.00645340855607
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,100,1000,-0.4000000000000066,-323.00000000017695
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,1000,100,-0.3999999999997759,-323.00000000021817
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,100,10,-6.009618057557684e-07,-323.0564356308366
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,10,10,0.23448766941098245,-323.0628890392157
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,10,100,-0.1296407238320871,-323.0064534084873
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,100,100,-0.4000000000000066,-323.0000000001082
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,10,1000,-0.12964072383362588,-323.00645340901247
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,1000,10,-6.302051107614194e-14,-323.05643563094657
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7999999999999999,1000,1000,-0.3999999999997759,-323.00000000028695
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,100,100,-0.4000000000000066,-323.000000000069
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,10,10,0.23073082163417044,-323.02058368285117
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,100,1000,-0.4000000000000066,-323.00000000063335
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,10,100,-0.12964072383148761,-323.0064534084481
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,1000,1000,-0.3999999999997759,-323.0000000007434
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,1000,10,-3.465330975213621e-13,-323.01413027458204
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,10,100,-0.12964072383145517,-323.0064534084562
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,1000,100,-0.3999999999997759,-323.00000000017906
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,10,1000,-0.12964072383330486,-323.0064534088609
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,100,1000,-0.4000000000000066,-323.0000000004818
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.85,100,10,-1.2214034360298912e-06,-323.01413027447205
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,1000,1000,-0.3999999999997759,-323.0000000005746
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,1000,1000,-0.3999999999997759,-323.00000000052694
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,100,1000,-0.4000000000000066,-323.0000000005337
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,100,1000,-0.4000000000000066,-323.00000000032065
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,10,1000,-0.1296407238326218,-323.00645340879606
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,10,1000,-0.12964072383173136,-323.00645340884364
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,1000,1000,-0.3999999999997759,-323.00000135866037
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,10,1000,-0.12964073129093248,-323.00645476692944
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,100,1000,-0.1506770201442634,-323.0270730116966
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,10,100,-0.06875528373583589,-323.00645340849695
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,100,100,-0.11100649135301371,-323.00000001098573
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,10,10,0.23118752418669208,-323.00918222564815
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,1000,100,-0.0010761893916000078,-323.00000304423827
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,10,100,0.09033384130142665,-323.0064564525074
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,100,100,-0.002131847130463306,-323.000343041577
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,1000,100,-3.465330975213621e-13,-327.19771952786425
